Long_Name,PFT_Index
not vegetated,0
needleleaf evergreen temperate tree,1
needleleaf evergreen boreal tree,2
needfleaf deciduous boreal tree,3
broadleaf evergreen tropical tree,4
broadleaf evergreen temperate tree,5
broadleaf deciduous tropical tree,6
broadleaf deciduous temperate tree,7
broadleaf deciduous boreal tree,8
broadleaf evergreen shrub,9
broadleaf deciduous temperate shrub,10
broadleaf deciduous boreal shrub,11
c3 arctic grass,12
c3 non-arctic grass,13
c4 grass,14
c3 crop,15
c3 irrigated,16
